Transaction_ID,CardNo,Prod1,Prod2,Prod3,Prod4,Prod5
1,83,kurma,alpokat,kurma,pisang,sawo
2,31,naga merah,naga merah,jambu,Anggur,alpokat
3,1,pisang,pir,alpokat,jambu,jambu
4,51,sawo,naga merah,Jeruk,sawo,pisang
5,85,alpokat,pir,alpokat,mangga,Anggur
6,28,kurma,sawo,kurma,mangga,mangga
7,18,mangga,kurma,Jeruk,alpokat,sawo
8,50,Jeruk,Jeruk,sawo,Jeruk,naga merah
9,52,Jeruk,Jeruk,mangga,naga merah,naga merah
10,62,mangga,Anggur,jambu,alpokat,naga merah
11,9,Jeruk,jambu,sawo,sawo,kurma
12,26,pir,mangga,pir,Anggur,naga merah
13,41,naga merah,jambu,Jeruk,jambu,Jeruk
14,100,pir,naga merah,alpokat,Anggur,Anggur
15,31,Anggur,naga merah,pir,pisang,pir
16,32,pisang,alpokat,pisang,kurma,Jeruk
17,10,mangga,Anggur,mangga,mangga,mangga
18,69,pir,jambu,sawo,mangga,kurma
19,52,naga merah,Jeruk,kurma,naga merah,sawo
20,31,mangga,alpokat,Anggur,sawo,pisang
21,4,jambu,kurma,Anggur,kurma,sawo
22,15,sawo,sawo,pir,kurma,alpokat
23,22,kurma,sawo,naga merah,sawo,kurma
24,42,jambu,alpokat,pisang,pisang,mangga
25,81,mangga,jambu,pir,kurma,pir
26,53,Jeruk,Anggur,alpokat,naga merah,sawo
27,42,alpokat,pisang,Anggur,Anggur,jambu
28,20,mangga,pir,pir,sawo,naga merah
29,96,kurma,jambu,pisang,jambu,pir
30,32,alpokat,Anggur,naga merah,naga merah,pisang
31,53,pisang,pisang,naga merah,sawo,jambu
32,81,pisang,sawo,naga merah,Anggur,pir
33,92,Jeruk,pisang,naga merah,naga merah,sawo
34,21,naga merah,Anggur,sawo,pisang,alpokat
35,49,naga merah,jambu,sawo,pisang,pisang
36,33,pisang,naga merah,alpokat,Anggur,sawo
37,94,mangga,pir,pir,pir,Anggur
38,8,naga merah,Anggur,pir,pisang,jambu
39,55,sawo,alpokat,pir,jambu,Anggur
40,18,naga merah,mangga,alpokat,pisang,pisang
41,20,jambu,mangga,kurma,sawo,kurma
42,25,Anggur,jambu,sawo,Jeruk,pisang
43,26,kurma,Jeruk,naga merah,Jeruk,jambu
44,78,kurma,alpokat,sawo,jambu,alpokat
45,14,sawo,Jeruk,naga merah,alpokat,jambu
46,4,jambu,pir,alpokat,pir,Jeruk
47,100,sawo,alpokat,sawo,Anggur,kurma
48,76,sawo,naga merah,naga merah,naga merah,pir
49,85,mangga,Jeruk,kurma,alpokat,pisang
50,79,jambu,jambu,kurma,pir,pir
51,67,mangga,Anggur,pisang,pisang,jambu
52,11,Jeruk,alpokat,alpokat,Jeruk,pir
53,62,sawo,alpokat,Jeruk,sawo,pir
54,57,pir,mangga,alpokat,pir,sawo
55,79,Anggur,Jeruk,kurma,Jeruk,jambu
56,22,jambu,pir,pir,pisang,Anggur
57,42,kurma,Anggur,sawo,pisang,mangga
58,98,pir,Anggur,Jeruk,naga merah,alpokat
59,56,alpokat,mangga,pisang,pisang,jambu
60,63,Anggur,pir,kurma,sawo,Anggur
61,78,mangga,sawo,Jeruk,sawo,mangga
62,61,pir,sawo,mangga,Jeruk,mangga
63,67,mangga,sawo,jambu,naga merah,pisang
64,94,sawo,Jeruk,jambu,alpokat,pisang
65,62,Anggur,Anggur,pisang,jambu,Jeruk
66,87,naga merah,pisang,Anggur,sawo,mangga
67,98,pisang,jambu,pisang,Anggur,alpokat
68,58,kurma,pisang,Jeruk,pisang,Anggur
69,9,alpokat,pir,pir,Anggur,pir
70,16,Jeruk,jambu,sawo,alpokat,Jeruk
